CardKey,ClientID,CardBrand,CardType,HasChip,CreditLimit,CreditLimitBand,CreditLimitBandSort,AccountOpened,AccountOpenedYear,CardsIssued,PinLastChanged
298,729,Mastercard,Debit,Chip,17795.0,$10k-$25k,2,2012-01-01,2012,1,2012
307,80,Visa,Credit,Chip,2800.0,$1k-$10k,1,2012-01-01,2012,2,2012
311,826,Mastercard,Debit,Chip,23403.0,$10k-$25k,2,2013-01-01,2013,1,2013
313,1652,Mastercard,Debit,Chip,26678.0,$25k-$50k,3,2013-01-01,2013,1,2013
317,391,Mastercard,Debit,Chip,23152.0,$10k-$25k,2,2013-01-01,2013,1,2013
320,706,Visa,Credit,Chip,12500.0,$10k-$25k,2,2013-01-01,2013,2,2013
336,534,Visa,Debit,Chip,32659.0,$25k-$50k,3,2014-01-01,2014,2,2014
355,1221,Mastercard,Debit,Chip,14892.0,$10k-$25k,2,2016-01-01,2016,1,2016
357,1730,Mastercard,Debit,Chip,16925.0,$10k-$25k,2,2016-01-01,2016,1,2016
370,1809,Mastercard,Debit (Prepaid),Chip,94.0,Under $1k,0,2018-01-01,2018,1,2018
372,944,Mastercard,Debit,Chip,72274.0,$50k+,4,2018-01-01,2018,2,2018
376,20,Visa,Credit,Chip,13000.0,$10k-$25k,2,2018-01-01,2018,1,2018
379,119,Mastercard,Debit,No chip,20819.0,$10k-$25k,2,2019-01-01,2019,2,2019
387,811,Amex,Credit,Chip,24400.0,$10k-$25k,2,2020-01-01,2020,1,2020
392,1133,Amex,Credit,Chip,13500.0,$10k-$25k,2,2020-01-01,2020,2,2020
405,1125,Amex,Credit,Chip,23100.0,$10k-$25k,2,2020-01-01,2020,1,2020
444,811,Mastercard,Debit,Chip,53549.0,$50k+,4,2020-01-01,2020,2,2020
474,963,Mastercard,Debit,Chip,21106.0,$10k-$25k,2,2020-01-01,2020,1,2020
555,716,Mastercard,Debit,Chip,7139.0,$1k-$10k,1,2020-01-01,2020,2,2020
556,716,Mastercard,Debit,Chip,10199.0,$10k-$25k,2,2020-01-01,2020,1,2020
565,955,Mastercard,Debit,Chip,20576.0,$10k-$25k,2,2020-01-01,2020,1,2020
597,1652,Mastercard,Debit (Prepaid),Chip,78.0,Under $1k,0,2020-01-01,2020,1,2020
599,1830,Mastercard,Debit (Prepaid),Chip,58.0,Under $1k,0,2020-01-01,2020,1,2020
616,1125,Mastercard,Debit,Chip,41040.0,$25k-$50k,3,2020-01-01,2020,1,2020
643,1763,Mastercard,Debit,Chip,12068.0,$10k-$25k,2,2020-01-01,2020,2,2020
659,37,Mastercard,Debit,Chip,20587.0,$10k-$25k,2,2020-01-01,2020,1,2020
699,618,Mastercard,Debit (Prepaid),No chip,71.0,Under $1k,0,2020-01-01,2020,2,2020
710,928,Mastercard,Credit,Chip,8000.0,$1k-$10k,1,2020-01-01,2020,1,2020
721,897,Mastercard,Credit,Chip,10200.0,$10k-$25k,2,2020-01-01,2020,2,2020
788,1353,Visa,Debit,Chip,17652.0,$10k-$25k,2,2020-01-01,2020,1,2020
811,716,Visa,Credit,Chip,7000.0,$1k-$10k,1,2020-01-01,2020,1,2020
829,1666,Visa,Credit,Chip,5800.0,$1k-$10k,1,2020-01-01,2020,2,2020
836,743,Visa,Debit,Chip,20582.0,$10k-$25k,2,2020-01-01,2020,1,2020
857,1260,Visa,Credit,Chip,11000.0,$10k-$25k,2,2020-01-01,2020,1,2020
885,434,Visa,Debit,Chip,21916.0,$10k-$25k,2,2020-01-01,2020,2,2020
886,434,Visa,Debit,Chip,25579.0,$25k-$50k,3,2020-01-01,2020,1,2020
958,746,Amex,Credit,Chip,6800.0,$1k-$10k,1,1996-02-01,1996,1,2009
966,1353,Mastercard,Debit,Chip,12076.0,$10k-$25k,2,1999-02-01,1999,1,2012
967,103,Mastercard,Debit,Chip,1738.0,$1k-$10k,1,1999-02-01,1999,1,2007
971,811,Visa,Credit,No chip,24900.0,$10k-$25k,2,1999-02-01,1999,1,2010
977,1568,Mastercard,Debit,Chip,14418.0,$10k-$25k,2,2000-02-01,2000,2,2005
983,1026,Visa,Debit (Prepaid),Chip,31.0,Under $1k,0,2000-02-01,2000,2,2014
984,303,Visa,Credit,Chip,14800.0,$10k-$25k,2,2000-02-01,2000,1,2012
991,1262,Mastercard,Debit,Chip,4747.0,$1k-$10k,1,2001-02-01,2001,2,2012
993,1666,Visa,Debit,Chip,9418.0,$1k-$10k,1,2001-02-01,2001,1,2012
1010,658,Amex,Credit,Chip,19300.0,$10k-$25k,2,2003-02-01,2003,1,2013
1015,1425,Mastercard,Debit (Prepaid),Chip,37.0,Under $1k,0,2003-02-01,2003,2,2016
1021,1076,Mastercard,Debit,Chip,16144.0,$10k-$25k,2,2003-02-01,2003,1,2011
1026,743,Visa,Debit,Chip,9998.0,$1k-$10k,1,2003-02-01,2003,1,2010
1046,142,Visa,Debit,Chip,2284.0,$1k-$10k,1,2004-02-01,2004,2,2017
1057,1777,Mastercard,Credit,Chip,14300.0,$10k-$25k,2,2005-02-01,2005,1,2010
1062,280,Visa,Credit,Chip,12000.0,$10k-$25k,2,2005-02-01,2005,2,2013
1069,1411,Visa,Credit,Chip,18200.0,$10k-$25k,2,2005-02-01,2005,1,2014
1073,1247,Visa,Debit,Chip,30822.0,$25k-$50k,3,2005-02-01,2005,1,2015
1087,32,Mastercard,Debit,Chip,2352.0,$1k-$10k,1,2006-02-01,2006,2,2012
1089,791,Mastercard,Debit,Chip,19097.0,$10k-$25k,2,2006-02-01,2006,1,2011
1095,1604,Visa,Debit,Chip,20858.0,$10k-$25k,2,2006-02-01,2006,2,2011
1107,996,Mastercard,Credit,Chip,4200.0,$1k-$10k,1,2007-02-01,2007,2,2011
1116,895,Mastercard,Debit (Prepaid),Chip,49.0,Under $1k,0,2007-02-01,2007,2,2017
1122,1586,Visa,Credit,Chip,20700.0,$10k-$25k,2,2007-02-01,2007,2,2007
1141,1425,Mastercard,Credit,Chip,8000.0,$1k-$10k,1,2008-02-01,2008,1,2010
1146,432,Mastercard,Debit,No chip,17515.0,$10k-$25k,2,2008-02-01,2008,3,2010
1155,1742,Visa,Credit,Chip,14700.0,$10k-$25k,2,2008-02-01,2008,1,2010
1175,377,Mastercard,Debit,Chip,30403.0,$25k-$50k,3,2009-02-01,2009,1,2014
1183,37,Mastercard,Debit,Chip,16315.0,$10k-$25k,2,2009-02-01,2009,1,2010
1186,1937,Mastercard,Debit,No chip,17883.0,$10k-$25k,2,2009-02-01,2009,1,2017
1187,1648,Mastercard,Debit,No chip,64565.0,$50k+,4,2009-02-01,2009,2,2019
1196,1995,Visa,Debit,Chip,11268.0,$10k-$25k,2,2009-02-01,2009,2,2013
1197,652,Visa,Debit,Chip,2045.0,$1k-$10k,1,2009-02-01,2009,2,2014
1203,928,Amex,Credit,Chip,8700.0,$1k-$10k,1,2010-02-01,2010,1,2010
1207,1777,Discover,Credit,Chip,24400.0,$10k-$25k,2,2010-02-01,2010,2,2011
1222,1166,Mastercard,Credit,Chip,14100.0,$10k-$25k,2,2010-02-01,2010,2,2010
1228,20,Mastercard,Debit,Chip,7702.0,$1k-$10k,1,2010-02-01,2010,1,2010
1230,37,Mastercard,Debit,Chip,10608.0,$10k-$25k,2,2010-02-01,2010,1,2010
1255,652,Visa,Debit,Chip,21607.0,$10k-$25k,2,2010-02-01,2010,2,2018
1265,948,Amex,Credit,Chip,6200.0,$1k-$10k,1,2011-02-01,2011,2,2011
1266,217,Mastercard,Credit,Chip,6500.0,$1k-$10k,1,2011-02-01,2011,1,2014
1267,217,Mastercard,Debit,Chip,2650.0,$1k-$10k,1,2011-02-01,2011,2,2013
1270,743,Mastercard,Debit,Chip,11664.0,$10k-$25k,2,2011-02-01,2011,1,2011
1271,0,Mastercard,Debit,Chip,31490.0,$25k-$50k,3,2011-02-01,2011,2,2011
1272,1830,Mastercard,Debit,Chip,12782.0,$10k-$25k,2,2011-02-01,2011,1,2011
1279,996,Visa,Debit,No chip,27231.0,$25k-$50k,3,2011-02-01,2011,1,2011
1291,20,Visa,Debit,Chip,16465.0,$10k-$25k,2,2011-02-01,2011,1,2011
1322,819,Mastercard,Debit,Chip,11818.0,$10k-$25k,2,2013-02-01,2013,1,2013
1325,948,Mastercard,Debit,Chip,13035.0,$10k-$25k,2,2013-02-01,2013,1,2013
1337,1300,Mastercard,Debit,Chip,10691.0,$10k-$25k,2,2014-02-01,2014,1,2014
1338,1809,Mastercard,Debit,Chip,27308.0,$25k-$50k,3,2014-02-01,2014,1,2014
1353,963,Mastercard,Credit,Chip,6500.0,$1k-$10k,1,2015-02-01,2015,1,2015
1364,217,Mastercard,Debit,Chip,9737.0,$1k-$10k,1,2016-02-01,2016,1,2016
1365,1586,Mastercard,Debit,Chip,17587.0,$10k-$25k,2,2016-02-01,2016,2,2016
1366,955,Mastercard,Debit,Chip,12887.0,$10k-$25k,2,2016-02-01,2016,2,2016
1381,764,Mastercard,Debit,Chip,20467.0,$10k-$25k,2,2018-02-01,2018,1,2018
1384,1091,Visa,Debit,Chip,29685.0,$25k-$50k,3,2018-02-01,2018,1,2018
1468,1219,Mastercard,Debit,Chip,22697.0,$10k-$25k,2,2020-02-01,2020,1,2020
1469,1493,Mastercard,Credit,Chip,13000.0,$10k-$25k,2,2020-02-01,2020,1,2020
1500,963,Mastercard,Debit,Chip,16417.0,$10k-$25k,2,2020-02-01,2020,1,2020
1536,1353,Mastercard,Debit (Prepaid),Chip,101.0,Under $1k,0,2020-02-01,2020,2,2020
1556,1253,Mastercard,Debit,Chip,24442.0,$10k-$25k,2,2020-02-01,2020,1,2020
1580,1471,Mastercard,Credit,Chip,5900.0,$1k-$10k,1,2020-02-01,2020,1,2020
1622,0,Mastercard,Debit,Chip,31008.0,$25k-$50k,3,2020-02-01,2020,2,2020
1623,0,Mastercard,Debit,Chip,25558.0,$25k-$50k,3,2020-02-01,2020,2,2020
1646,1260,Mastercard,Credit,Chip,10100.0,$10k-$25k,2,2020-02-01,2020,1,2020
1774,1493,Visa,Debit,Chip,22701.0,$10k-$25k,2,2020-02-01,2020,2,2020
1782,1799,Visa,Debit,Chip,62081.0,$50k+,4,2020-02-01,2020,2,2020
1802,1613,Visa,Debit,Chip,15747.0,$10k-$25k,2,2020-02-01,2020,2,2020
1812,1353,Visa,Debit,Chip,13635.0,$10k-$25k,2,2020-02-01,2020,1,2020
1825,1253,Visa,Credit,No chip,10600.0,$10k-$25k,2,2020-02-01,2020,1,2020
1863,955,Visa,Credit,Chip,1100.0,$1k-$10k,1,2020-02-01,2020,2,2020
1910,764,Visa,Credit,Chip,4400.0,$1k-$10k,1,2020-02-01,2020,1,2020
1920,727,Visa,Credit,Chip,6700.0,$1k-$10k,1,2020-02-01,2020,2,2020
1921,944,Visa,Debit,Chip,52717.0,$50k+,4,2020-02-01,2020,1,2020
1927,402,Visa,Debit,No chip,20709.0,$10k-$25k,2,2020-02-01,2020,1,2020
1989,738,Visa,Debit,Chip,42253.0,$25k-$50k,3,2020-02-01,2020,1,2020
2003,1774,Discover,Credit,Chip,8400.0,$1k-$10k,1,1997-03-01,1997,1,2013
2006,1259,Visa,Debit,Chip,78790.0,$50k+,4,1997-03-01,1997,1,2011
2010,582,Mastercard,Debit,Chip,9044.0,$1k-$10k,1,1999-03-01,1999,1,2013
2045,1259,Mastercard,Debit,Chip,98334.0,$50k+,4,2003-03-01,2003,1,2007
2058,1719,Mastercard,Debit,Chip,24775.0,$10k-$25k,2,2004-03-01,2004,2,2010
2063,216,Mastercard,Debit,Chip,18729.0,$10k-$25k,2,2004-03-01,2004,1,2011
2065,1247,Mastercard,Debit,No chip,13095.0,$10k-$25k,2,2004-03-01,2004,2,2018
2079,811,Mastercard,Debit,Chip,30971.0,$25k-$50k,3,2005-03-01,2005,2,2020
2083,840,Mastercard,Debit,Chip,43169.0,$25k-$50k,3,2005-03-01,2005,1,2012
2114,1809,Mastercard,Debit,Chip,10683.0,$10k-$25k,2,2006-03-01,2006,1,2009
2128,595,Visa,Debit,Chip,12009.0,$10k-$25k,2,2006-03-01,2006,1,2009
2129,1917,Visa,Debit,Chip,20428.0,$10k-$25k,2,2006-03-01,2006,2,2009
2166,1648,Visa,Debit,Chip,97352.0,$50k+,4,2007-03-01,2007,2,2019
2188,1604,Mastercard,Debit,Chip,13016.0,$10k-$25k,2,2008-03-01,2008,2,2008
2189,1330,Mastercard,Debit,Chip,32557.0,$25k-$50k,3,2008-03-01,2008,2,2008
2207,1604,Visa,Debit,Chip,10360.0,$10k-$25k,2,2008-03-01,2008,1,2009
2217,729,Mastercard,Credit,Chip,9000.0,$1k-$10k,1,2009-03-01,2009,2,2011
2238,1725,Visa,Debit,Chip,12325.0,$10k-$25k,2,2009-03-01,2009,1,2009
2240,162,Visa,Credit,Chip,15400.0,$10k-$25k,2,2009-03-01,2009,2,2012
2241,1859,Visa,Credit,Chip,18600.0,$10k-$25k,2,2009-03-01,2009,1,2013
2248,1253,Mastercard,Debit,No chip,29637.0,$25k-$50k,3,2010-03-01,2010,1,2010
2262,1523,Visa,Credit,Chip,9600.0,$1k-$10k,1,2010-03-01,2010,1,2011
2267,1777,Visa,Credit,Chip,12700.0,$10k-$25k,2,2010-03-01,2010,1,2020
2270,738,Visa,Credit,Chip,19300.0,$10k-$25k,2,2010-03-01,2010,2,2010
2276,1646,Mastercard,Debit,Chip,11153.0,$10k-$25k,2,2011-03-01,2011,1,2011
2282,618,Mastercard,Debit,Chip,11591.0,$10k-$25k,2,2011-03-01,2011,1,2011
2295,791,Amex,Credit,Chip,7900.0,$1k-$10k,1,2012-03-01,2012,2,2012
2297,1586,Mastercard,Credit,Chip,5700.0,$1k-$10k,1,2012-03-01,2012,1,2012
2302,944,Mastercard,Debit,Chip,66930.0,$50k+,4,2012-03-01,2012,2,2012
2309,1219,Mastercard,Credit,Chip,18000.0,$10k-$25k,2,2013-03-01,2013,1,2013
2318,811,Visa,Debit,Chip,33375.0,$25k-$50k,3,2013-03-01,2013,1,2013
2319,746,Visa,Credit,Chip,9800.0,$1k-$10k,1,2013-03-01,2013,2,2013
2358,1076,Mastercard,Credit,Chip,7500.0,$1k-$10k,1,2016-03-01,2016,2,2016
2406,1332,Visa,Debit,Chip,21749.0,$10k-$25k,2,1999-04-01,1999,1,2008
2415,1030,Amex,Credit,Chip,16500.0,$10k-$25k,2,2001-04-01,2001,1,2016
2416,840,Mastercard,Debit,Chip,48370.0,$25k-$50k,3,2001-04-01,2001,2,2011
2419,1859,Mastercard,Debit (Prepaid),Chip,65.0,Under $1k,0,2001-04-01,2001,1,2014
2429,1595,Mastercard,Debit,Chip,17749.0,$10k-$25k,2,2002-04-01,2002,1,2011
2432,1262,Mastercard,Debit,Chip,3955.0,$1k-$10k,1,2002-04-01,2002,1,2013
2433,465,Mastercard,Debit,Chip,16047.0,$10k-$25k,2,2002-04-01,2002,2,2011
2439,1995,Amex,Credit,Chip,4000.0,$1k-$10k,1,2003-04-01,2003,2,2011
2446,1130,Mastercard,Debit,Chip,15847.0,$10k-$25k,2,2003-04-01,2003,1,2010
2472,1595,Visa,Credit,Chip,12700.0,$10k-$25k,2,2004-04-01,2004,1,2011
2478,1266,Mastercard,Debit,Chip,15119.0,$10k-$25k,2,2005-04-01,2005,2,2011
2481,1997,Mastercard,Debit,No chip,31829.0,$25k-$50k,3,2005-04-01,2005,2,2020
2485,1169,Mastercard,Credit,Chip,21200.0,$10k-$25k,2,2005-04-01,2005,1,2012
2502,652,Amex,Credit,Chip,16500.0,$10k-$25k,2,2006-04-01,2006,2,2016
2504,1022,Mastercard,Credit,Chip,10300.0,$10k-$25k,2,2006-04-01,2006,1,2009
2532,597,Mastercard,Debit,Chip,46070.0,$25k-$50k,3,2007-04-01,2007,2,2008
2533,1666,Mastercard,Credit,Chip,12700.0,$10k-$25k,2,2007-04-01,2007,1,2015
2534,1169,Mastercard,Credit,Chip,22000.0,$10k-$25k,2,2007-04-01,2007,1,2013
2535,1384,Mastercard,Debit,Chip,19206.0,$10k-$25k,2,2007-04-01,2007,1,2011
2536,402,Mastercard,Debit,Chip,20230.0,$10k-$25k,2,2007-04-01,2007,2,2010
2541,921,Mastercard,Debit,Chip,33980.0,$25k-$50k,3,2007-04-01,2007,1,2010
2547,1073,Visa,Debit,Chip,25977.0,$25k-$50k,3,2007-04-01,2007,1,2009
2561,1253,Mastercard,Debit,Chip,28390.0,$25k-$50k,3,2008-04-01,2008,2,2008
2586,1133,Visa,Debit,Chip,21442.0,$10k-$25k,2,2008-04-01,2008,2,2015
2600,1425,Mastercard,Debit (Prepaid),Chip,49.0,Under $1k,0,2009-04-01,2009,2,2009
2601,1300,Mastercard,Debit (Prepaid),Chip,75.0,Under $1k,0,2009-04-01,2009,1,2009
2624,1648,Visa,Debit,No chip,5921.0,$1k-$10k,1,2009-04-01,2009,2,2010
2638,662,Mastercard,Debit,Chip,28747.0,$25k-$50k,3,2010-04-01,2010,2,2010
2645,432,Mastercard,Debit,Chip,11625.0,$10k-$25k,2,2010-04-01,2010,2,2012
2646,432,Mastercard,Credit,Chip,5800.0,$1k-$10k,1,2010-04-01,2010,2,2011
2651,209,Mastercard,Credit,Chip,8900.0,$1k-$10k,1,2010-04-01,2010,1,2010
2653,1983,Mastercard,Debit,Chip,47211.0,$25k-$50k,3,2010-04-01,2010,1,2010
2665,727,Visa,Credit,Chip,9700.0,$1k-$10k,1,2010-04-01,2010,2,2016
2666,164,Visa,Credit,Chip,5100.0,$1k-$10k,1,2010-04-01,2010,1,2011
2688,1652,Visa,Debit,Chip,15652.0,$10k-$25k,2,2011-04-01,2011,2,2011
2689,80,Visa,Debit,Chip,13569.0,$10k-$25k,2,2011-04-01,2011,1,2011
2691,217,Mastercard,Debit,No chip,16538.0,$10k-$25k,2,2012-04-01,2012,1,2012
2698,402,Mastercard,Debit,Chip,14749.0,$10k-$25k,2,2012-04-01,2012,2,2012
2702,855,Mastercard,Debit,Chip,13841.0,$10k-$25k,2,2012-04-01,2012,2,2012
2703,1859,Mastercard,Debit,Chip,15976.0,$10k-$25k,2,2012-04-01,2012,1,2012
2716,561,Mastercard,Debit (Prepaid),Chip,69.0,Under $1k,0,2013-04-01,2013,1,2013
2718,921,Mastercard,Debit,No chip,21466.0,$10k-$25k,2,2013-04-01,2013,1,2013
2749,241,Mastercard,Debit,Chip,11143.0,$10k-$25k,2,2015-04-01,2015,1,2015
2771,928,Mastercard,Debit,Chip,10882.0,$10k-$25k,2,2017-04-01,2017,1,2017
2800,456,Visa,Credit,Chip,5800.0,$1k-$10k,1,1998-05-01,1998,1,2009
2814,1725,Mastercard,Debit (Prepaid),Chip,15.0,Under $1k,0,2001-05-01,2001,2,2009
2823,1807,Amex,Credit,Chip,13200.0,$10k-$25k,2,2002-05-01,2002,2,2014
2826,280,Mastercard,Debit,Chip,14592.0,$10k-$25k,2,2002-05-01,2002,2,2018
2828,944,Mastercard,Debit,Chip,130971.0,$50k+,4,2002-05-01,2002,2,2010
2837,1807,Amex,Credit,Chip,3900.0,$1k-$10k,1,2003-05-01,2003,2,2008
2851,1425,Discover,Credit,Chip,2900.0,$1k-$10k,1,2004-05-01,2004,2,2011
2870,1026,Visa,Debit (Prepaid),Chip,77.0,Under $1k,0,2004-05-01,2004,2,2007
2889,994,Visa,Debit,Chip,12778.0,$10k-$25k,2,2005-05-01,2005,1,2010
2891,1026,Visa,Credit,No chip,6200.0,$1k-$10k,1,2005-05-01,2005,1,2013
2894,679,Amex,Credit,Chip,9900.0,$1k-$10k,1,2006-05-01,2006,1,2007
2897,81,Mastercard,Debit (Prepaid),Chip,48.0,Under $1k,0,2006-05-01,2006,2,2014
2898,1184,Mastercard,Debit,Chip,39751.0,$25k-$50k,3,2006-05-01,2006,1,2007
2907,1983,Mastercard,Credit,Chip,51900.0,$50k+,4,2006-05-01,2006,1,2009
2936,1030,Mastercard,Credit,Chip,12600.0,$10k-$25k,2,2007-05-01,2007,2,2011
2950,1604,Visa,Credit,Chip,8800.0,$1k-$10k,1,2007-05-01,2007,2,2009
2959,280,Mastercard,Credit,No chip,5600.0,$1k-$10k,1,2008-05-01,2008,2,2011
2962,81,Mastercard,Debit,Chip,1778.0,$1k-$10k,1,2008-05-01,2008,2,2011
2968,816,Mastercard,Debit,Chip,13343.0,$10k-$25k,2,2008-05-01,2008,2,2011
2978,1487,Visa,Debit,Chip,31589.0,$25k-$50k,3,2008-05-01,2008,1,2008
3000,1568,Mastercard,Debit,Chip,9120.0,$1k-$10k,1,2009-05-01,2009,2,2013
3003,377,Mastercard,Debit,Chip,2536.0,$1k-$10k,1,2009-05-01,2009,2,2009
3005,432,Mastercard,Debit,Chip,10049.0,$10k-$25k,2,2009-05-01,2009,2,2009
3027,1076,Visa,Credit,Chip,7600.0,$1k-$10k,1,2009-05-01,2009,2,2013
3041,140,Mastercard,Debit,Chip,19110.0,$10k-$25k,2,2010-05-01,2010,1,2011
3043,746,Mastercard,Debit (Prepaid),Chip,93.0,Under $1k,0,2010-05-01,2010,1,2010
3049,595,Mastercard,Debit,Chip,18035.0,$10k-$25k,2,2010-05-01,2010,1,2010
3052,1719,Mastercard,Debit,Chip,16034.0,$10k-$25k,2,2010-05-01,2010,2,2010
3060,1695,Mastercard,Credit,Chip,12700.0,$10k-$25k,2,2010-05-01,2010,2,2015
3076,1799,Visa,Debit,No chip,28127.0,$25k-$50k,3,2010-05-01,2010,2,2010
3080,1969,Visa,Debit,Chip,3016.0,$1k-$10k,1,2010-05-01,2010,1,2011
3083,948,Visa,Credit,Chip,8300.0,$1k-$10k,1,2010-05-01,2010,2,2010
3085,604,Amex,Credit,Chip,16000.0,$10k-$25k,2,2011-05-01,2011,1,2011
3087,1296,Discover,Credit,Chip,19800.0,$10k-$25k,2,2011-05-01,2011,1,2011
3092,662,Mastercard,Debit (Prepaid),Chip,110.0,Under $1k,0,2011-05-01,2011,2,2011
3094,1471,Mastercard,Credit,Chip,7900.0,$1k-$10k,1,2011-05-01,2011,1,2011
3105,776,Visa,Debit,Chip,25020.0,$25k-$50k,3,2011-05-01,2011,2,2011
3112,826,Amex,Credit,Chip,19400.0,$10k-$25k,2,2012-05-01,2012,1,2012
3135,921,Mastercard,Debit,Chip,41714.0,$25k-$50k,3,2013-05-01,2013,1,2013
3152,928,Mastercard,Debit,Chip,19624.0,$10k-$25k,2,2014-05-01,2014,1,2014
3156,1353,Visa,Debit,Chip,22566.0,$10k-$25k,2,2014-05-01,2014,1,2014
3185,1604,Visa,Debit,Chip,13754.0,$10k-$25k,2,2016-05-01,2016,1,2016
3194,801,Mastercard,Debit,Chip,15042.0,$10k-$25k,2,2017-05-01,2017,2,2017
3203,1302,Mastercard,Debit,No chip,8993.0,$1k-$10k,1,2019-05-01,2019,1,2019
3208,996,Mastercard,Credit,Chip,12900.0,$10k-$25k,2,1999-06-01,1999,1,2011
3210,164,Mastercard,Debit,Chip,14103.0,$10k-$25k,2,1999-06-01,1999,1,2008
3218,209,Mastercard,Credit,No chip,2500.0,$1k-$10k,1,2000-06-01,2000,2,2011
3235,515,Mastercard,Debit,Chip,15800.0,$10k-$25k,2,2002-06-01,2002,2,2012
3240,110,Visa,Debit,No chip,32223.0,$25k-$50k,3,2002-06-01,2002,1,2005
3243,994,Visa,Debit,Chip,8874.0,$1k-$10k,1,2002-06-01,2002,2,2012
3245,819,Visa,Credit,Chip,8400.0,$1k-$10k,1,2002-06-01,2002,1,2010
3250,750,Mastercard,Debit,Chip,11749.0,$10k-$25k,2,2003-06-01,2003,2,2015
3252,908,Mastercard,Debit,Chip,3630.0,$1k-$10k,1,2003-06-01,2003,1,2009
3261,801,Visa,Debit,Chip,9551.0,$1k-$10k,1,2003-06-01,2003,2,2009
