"query","column","value"
"04_spend_by_category","[Spend]","304796.8"
"04_spend_by_category","[Txn]","409"
"04_spend_by_category","Merchant Category[Merchant Category]","Miscellaneous Metal Fabrication"
"04_spend_by_category","[Spend]","40685.35"
"04_spend_by_category","[Txn]","52"
"04_spend_by_category","Merchant Category[Merchant Category]","Miscellaneous Fabricated Metal Products"
"04_spend_by_category","[Spend]","35188.95"
"04_spend_by_category","[Txn]","47"
"04_spend_by_category","Merchant Category[Merchant Category]","Coated and Laminated Products"
"04_spend_by_category","[Spend]","56304.85"
"04_spend_by_category","[Txn]","62"
"04_spend_by_category","Merchant Category[Merchant Category]","Steel Drums and Barrels"
"04_spend_by_category","[Spend]","36714.59"
"04_spend_by_category","[Txn]","52"
"04_spend_by_category","Merchant Category[Merchant Category]","Fabricated Structural Metal Products"
"04_spend_by_category","[Spend]","37772.25"
"04_spend_by_category","[Txn]","58"
"04_spend_by_category","Merchant Category[Merchant Category]","Tools, Parts, Supplies Manufacturing"
"04_spend_by_category","[Spend]","302902.36"
"04_spend_by_category","[Txn]","403"
"04_spend_by_category","Merchant Category[Merchant Category]","Miscellaneous Metals"
"04_spend_by_category","[Spend]","275204.34"
"04_spend_by_category","[Txn]","361"
"04_spend_by_category","Merchant Category[Merchant Category]","Bolt, Nut, Screw, Rivet Manufacturing"
"04_spend_by_category","[Spend]","32569.8"
"04_spend_by_category","[Txn]","44"
"04_spend_by_category","Merchant Category[Merchant Category]","Leather Goods"
"04_spend_by_category","[Spend]","296388.91"
"04_spend_by_category","[Txn]","390"
"04_spend_by_category","Merchant Category[Merchant Category]","Floor Covering Stores"
"04_spend_by_category","[Spend]","53809.09"
"04_spend_by_category","[Txn]","64"
"04_spend_by_category","Merchant Category[Merchant Category]","Upholstery and Drapery Stores"
"04_spend_by_category","[Spend]","270558.21"
"04_spend_by_category","[Txn]","377"
"04_spend_by_category","Merchant Category[Merchant Category]","Brick, Stone, and Related Materials"
"04_spend_by_category","[Spend]","270992.35"
"04_spend_by_category","[Txn]","360"
"04_spend_by_category","Merchant Category[Merchant Category]","Pottery and Ceramics"
"04_spend_by_category","[Spend]","304596"
"04_spend_by_category","[Txn]","405"
"04_spend_by_category","Merchant Category[Merchant Category]","Non-Ferrous Metal Foundries"
"04_spend_by_category","[Spend]","91226.4"
"04_spend_by_category","[Txn]","1446"
"04_spend_by_category","Merchant Category[Merchant Category]","Electroplating, Plating, Polishing Services"
"04_spend_by_category","[Spend]","65224.04"
"04_spend_by_category","[Txn]","1036"
"04_spend_by_category","Merchant Category[Merchant Category]","Non-Precious Metal Services"
"04_spend_by_category","[Spend]","88115.82"
"04_spend_by_category","[Txn]","1476"
"04_spend_by_category","Merchant Category[Merchant Category]","Miscellaneous Metalwork"
"04_spend_by_category","[Spend]","60892.85"
"04_spend_by_category","[Txn]","1014"
"04_spend_by_category","Merchant Category[Merchant Category]","Heat Treating Metal Services"
"04_spend_by_category","[Spend]","67837.29"
"04_spend_by_category","[Txn]","1077"
"04_spend_by_category","Merchant Category[Merchant Category]","Welding Repair"
"04_spend_by_category","[Spend]","66619.08"
"04_spend_by_category","[Txn]","1067"
"04_spend_by_category","Merchant Category[Merchant Category]","Ironwork"
"04_spend_by_category","[Spend]","69367.31"
"04_spend_by_category","[Txn]","1074"
"04_spend_by_category","Merchant Category[Merchant Category]","Gardening Supplies"
"04_spend_by_category","[Spend]","160712.21"
"04_spend_by_category","[Txn]","2165"
"04_spend_by_category","Merchant Category[Merchant Category]","Industrial Equipment and Supplies"
"04_spend_by_category","[Spend]","157855.92"
"04_spend_by_category","[Txn]","2029"
"04_spend_by_category","Merchant Category[Merchant Category]","Miscellaneous Machinery and Parts Manufacturing"
"04_spend_by_category","[Spend]","133518.32"
"04_spend_by_category","[Txn]","1859"
"04_spend_by_category","Merchant Category[Merchant Category]","Lighting, Fixtures, Electrical Supplies"
"04_spend_by_category","[Spend]","157530.96"
"04_spend_by_category","[Txn]","2096"
"04_spend_by_category","Merchant Category[Merchant Category]","Semiconductors and Related Devices"
"04_spend_by_category","[Spend]","176663.88"
"04_spend_by_category","[Txn]","2268"
"04_spend_by_category","Merchant Category[Merchant Category]","Passenger Railways"
"04_spend_by_category","[Spend]","235289.81"
"04_spend_by_category","[Txn]","2353"
"04_spend_by_category","Merchant Category[Merchant Category]","Ship Chandlers"
"04_spend_by_category","[Spend]","150863.6"
"04_spend_by_category","[Txn]","2003"
"04_spend_by_category","Merchant Category[Merchant Category]","Railroad Passenger Transport"
"04_spend_by_category","[Spend]","129231.78"
"04_spend_by_category","[Txn]","1724"
"04_spend_by_category","Merchant Category[Merchant Category]","Railroad Freight"
"04_spend_by_category","[Spend]","140999.98"
"04_spend_by_category","[Txn]","1841"
"04_spend_by_category","Merchant Category[Merchant Category]","Computer Network Services"
"04_spend_by_category","[Spend]","135202.15"
"04_spend_by_category","[Txn]","1893"
"04_spend_by_category","Merchant Category[Merchant Category]","Local and Suburban Commuter Transportation"
"04_spend_by_category","[Spend]","932815.1"
"04_spend_by_category","[Txn]","12063"
"04_spend_by_category","Merchant Category[Merchant Category]","Taxicabs and Limousines"
"04_spend_by_category","[Spend]","1526399.97"
"04_spend_by_category","[Txn]","62848"
"04_spend_by_category","Merchant Category[Merchant Category]","Bus Lines"
"04_spend_by_category","[Spend]","25092.9"
"04_spend_by_category","[Txn]","281"
"04_spend_by_category","Merchant Category[Merchant Category]","Motor Freight Carriers and Trucking"
"04_spend_by_category","[Spend]","181288.66"
"04_spend_by_category","[Txn]","12290"
"04_spend_by_category","Merchant Category[Merchant Category]","Cruise Lines"
"04_spend_by_category","[Spend]","81976.91"
"04_spend_by_category","[Txn]","55"
"04_spend_by_category","Merchant Category[Merchant Category]","Airlines"
"04_spend_by_category","[Spend]","274862.85"
"04_spend_by_category","[Txn]","374"
"04_spend_by_category","Merchant Category[Merchant Category]","Travel Agencies"
"04_spend_by_category","[Spend]","567656.48"
"04_spend_by_category","[Txn]","4357"
"04_spend_by_category","Merchant Category[Merchant Category]","Tolls and Bridge Fees"
"04_spend_by_category","[Spend]","2566854.61"
"04_spend_by_category","[Txn]","77153"
"04_spend_by_category","Merchant Category[Merchant Category]","Telecommunication Services"
"04_spend_by_category","[Spend]","3178543.22"
"04_spend_by_category","[Txn]","28607"
"04_spend_by_category","Merchant Category[Merchant Category]","Money Transfer"
"04_spend_by_category","[Spend]","5872570.06"
"04_spend_by_category","[Txn]","67457"
"04_spend_by_category","Merchant Category[Merchant Category]","Cable, Satellite, and Other Pay Television Services"
"04_spend_by_category","[Spend]","1039198.57"
"04_spend_by_category","[Txn]","7299"
"04_spend_by_category","Merchant Category[Merchant Category]","Utilities - Electric, Gas, Water, Sanitary"
"04_spend_by_category","[Spend]","3339110.71"
"04_spend_by_category","[Txn]","30918"
"04_spend_by_category","Merchant Category[Merchant Category]","Computers, Computer Peripheral Equipment"
"04_spend_by_category","[Spend]","56317.66"
"04_spend_by_category","[Txn]","392"
"04_spend_by_category","Merchant Category[Merchant Category]","Precious Stones and Metals"
"04_spend_by_category","[Spend]","36058.9"
"04_spend_by_category","[Txn]","660"
"04_spend_by_category","Merchant Category[Merchant Category]","Books, Periodicals, Newspapers"
"04_spend_by_category","[Spend]","43361.97"
"04_spend_by_category","[Txn]","1128"
"04_spend_by_category","Merchant Category[Merchant Category]","Florists Supplies, Nursery Stock and Flowers"
"04_spend_by_category","[Spend]","36561.64"
"04_spend_by_category","[Txn]","899"
"04_spend_by_category","Merchant Category[Merchant Category]","Lumber and Building Materials"
"04_spend_by_category","[Spend]","1030705.13"
"04_spend_by_category","[Txn]","22980"
"04_spend_by_category","Merchant Category[Merchant Category]","Hardware Stores"
"04_spend_by_category","[Spend]","178209.38"
"04_spend_by_category","[Txn]","4459"
"04_spend_by_category","Merchant Category[Merchant Category]","Lawn and Garden Supply Stores"
"04_spend_by_category","[Spend]","31685.39"
"04_spend_by_category","[Txn]","688"
"04_spend_by_category","Merchant Category[Merchant Category]","Wholesale Clubs"
"04_spend_by_category","[Spend]","5210718.37"
"04_spend_by_category","[Txn]","84571"
"04_spend_by_category","Merchant Category[Merchant Category]","Discount Stores"
"04_spend_by_category","[Spend]","1497596.94"
"04_spend_by_category","[Txn]","35518"
"04_spend_by_category","Merchant Category[Merchant Category]","Department Stores"
"04_spend_by_category","[Spend]","3747127.93"
"04_spend_by_category","[Txn]","66087"
"04_spend_by_category","Merchant Category[Merchant Category]","Grocery Stores, Supermarkets"
"04_spend_by_category","[Spend]","5365169.34"
"04_spend_by_category","[Txn]","201372"
"04_spend_by_category","Merchant Category[Merchant Category]","Miscellaneous Food Stores"
"04_spend_by_category","[Spend]","1597692.64"
"04_spend_by_category","[Txn]","164137"
"04_spend_by_category","Merchant Category[Merchant Category]","Automotive Parts and Accessories Stores"
"04_spend_by_category","[Spend]","62139.66"
"04_spend_by_category","[Txn]","169"
"04_spend_by_category","Merchant Category[Merchant Category]","Service Stations"
"04_spend_by_category","[Spend]","3393065.54"
"04_spend_by_category","[Txn]","171802"
"04_spend_by_category","Merchant Category[Merchant Category]","Women's Ready-To-Wear Stores"
"04_spend_by_category","[Spend]","114261.95"
"04_spend_by_category","[Txn]","1770"
"04_spend_by_category","Merchant Category[Merchant Category]","Family Clothing Stores"
"04_spend_by_category","[Spend]","634394.92"
"04_spend_by_category","[Txn]","11314"
"04_spend_by_category","Merchant Category[Merchant Category]","Sports Apparel, Riding Apparel Stores"
"04_spend_by_category","[Spend]","172973.79"
"04_spend_by_category","[Txn]","2628"
"04_spend_by_category","Merchant Category[Merchant Category]","Shoe Stores"
"04_spend_by_category","[Spend]","137243.33"
"04_spend_by_category","[Txn]","2100"
"04_spend_by_category","Merchant Category[Merchant Category]","Furniture, Home Furnishings, and Equipment Stores"
"04_spend_by_category","[Spend]","190547.07"
"04_spend_by_category","[Txn]","537"
"04_spend_by_category","Merchant Category[Merchant Category]","Miscellaneous Home Furnishing Stores"
"04_spend_by_category","[Spend]","622560.55"
"04_spend_by_category","[Txn]","12690"
"04_spend_by_category","Merchant Category[Merchant Category]","Household Appliance Stores"
"04_spend_by_category","[Spend]","22820.97"
"04_spend_by_category","[Txn]","42"
"04_spend_by_category","Merchant Category[Merchant Category]","Electronics Stores"
"04_spend_by_category","[Spend]","169210.54"
"04_spend_by_category","[Txn]","973"
"04_spend_by_category","Merchant Category[Merchant Category]","Music Stores - Musical Instruments"
"04_spend_by_category","[Spend]","29130.18"
"04_spend_by_category","[Txn]","50"
"04_spend_by_category","Merchant Category[Merchant Category]","Eating Places and Restaurants"
"04_spend_by_category","[Spend]","3879791.75"
"04_spend_by_category","[Txn]","128456"
"04_spend_by_category","Merchant Category[Merchant Category]","Drinking Places (Alcoholic Beverages)"
"04_spend_by_category","[Spend]","776309.5"
"04_spend_by_category","[Txn]","32244"
"04_spend_by_category","Merchant Category[Merchant Category]","Fast Food Restaurants"
"04_spend_by_category","[Spend]","1906490.13"
"04_spend_by_category","[Txn]","63802"
"04_spend_by_category","Merchant Category[Merchant Category]","Digital Goods - Media, Books, Apps"
"04_spend_by_category","[Spend]","116605.2"
"04_spend_by_category","[Txn]","8886"
"04_spend_by_category","Merchant Category[Merchant Category]","Digital Goods - Games"
"04_spend_by_category","[Spend]","64664.47"
"04_spend_by_category","[Txn]","411"
"04_spend_by_category","Merchant Category[Merchant Category]","Drug Stores and Pharmacies"
"04_spend_by_category","[Spend]","4772736.85"
"04_spend_by_category","[Txn]","106864"
"04_spend_by_category","Merchant Category[Merchant Category]","Package Stores, Beer, Wine, Liquor"
"04_spend_by_category","[Spend]","142532.35"
"04_spend_by_category","[Txn]","14002"
"04_spend_by_category","Merchant Category[Merchant Category]","Antique Shops"
"04_spend_by_category","[Spend]","267027.66"
"04_spend_by_category","[Txn]","1476"
"04_spend_by_category","Merchant Category[Merchant Category]","Sporting Goods Stores"
"04_spend_by_category","[Spend]","10424.14"
"04_spend_by_category","[Txn]","238"
"04_spend_by_category","Merchant Category[Merchant Category]","Book Stores"
"04_spend_by_category","[Spend]","614227.02"
"04_spend_by_category","[Txn]","31071"
"04_spend_by_category","Merchant Category[Merchant Category]","Gift, Card, Novelty Stores"
"04_spend_by_category","[Spend]","3784.83"
"04_spend_by_category","[Txn]","335"
"04_spend_by_category","Merchant Category[Merchant Category]","Artist Supply Stores, Craft Shops"
"04_spend_by_category","[Spend]","407783"
"04_spend_by_category","[Txn]","9700"
"04_spend_by_category","Merchant Category[Merchant Category]","Cosmetic Stores"
"04_spend_by_category","[Spend]","7289.42"
"04_spend_by_category","[Txn]","686"
"04_spend_by_category","Merchant Category[Merchant Category]","Insurance Sales, Underwriting"
"04_spend_by_category","[Spend]","1570879.51"
"04_spend_by_category","[Txn]","7107"
"04_spend_by_category","Merchant Category[Merchant Category]","Lodging - Hotels, Motels, Resorts"
"04_spend_by_category","[Spend]","166453.59"
"04_spend_by_category","[Txn]","2175"
"04_spend_by_category","Merchant Category[Merchant Category]","Laundry Services"
"04_spend_by_category","[Spend]","76137.48"
"04_spend_by_category","[Txn]","4118"
"04_spend_by_category","Merchant Category[Merchant Category]","Beauty and Barber Shops"
"04_spend_by_category","[Spend]","633106.68"
"04_spend_by_category","[Txn]","14183"
"04_spend_by_category","Merchant Category[Merchant Category]","Tax Preparation Services"
"04_spend_by_category","[Spend]","97114.85"
"04_spend_by_category","[Txn]","546"
"04_spend_by_category","Merchant Category[Merchant Category]","Cleaning and Maintenance Services"
"04_spend_by_category","[Spend]","271422.78"
"04_spend_by_category","[Txn]","6491"
"04_spend_by_category","Merchant Category[Merchant Category]","Detective Agencies, Security Services"
"04_spend_by_category","[Spend]","47356"
"04_spend_by_category","[Txn]","1767"
"04_spend_by_category","Merchant Category[Merchant Category]","Automotive Body Repair Shops"
"04_spend_by_category","[Spend]","77574.61"
"04_spend_by_category","[Txn]","203"
"04_spend_by_category","Merchant Category[Merchant Category]","Automotive Service Shops"
"04_spend_by_category","[Spend]","3356004.02"
"04_spend_by_category","[Txn]","59295"
"04_spend_by_category","Merchant Category[Merchant Category]","Car Washes"
"04_spend_by_category","[Spend]","62475.13"
"04_spend_by_category","[Txn]","4490"
"04_spend_by_category","Merchant Category[Merchant Category]","Towing Services"
"04_spend_by_category","[Spend]","60045.51"
"04_spend_by_category","[Txn]","159"
"04_spend_by_category","Merchant Category[Merchant Category]","Athletic Fields, Commercial Sports"
"04_spend_by_category","[Spend]","204431.94"
"04_spend_by_category","[Txn]","1540"
"04_spend_by_category","Merchant Category[Merchant Category]","Recreational Sports, Clubs"
"04_spend_by_category","[Spend]","213585.48"
"04_spend_by_category","[Txn]","1519"
"04_spend_by_category","Merchant Category[Merchant Category]","Motion Picture Theaters"
"04_spend_by_category","[Spend]","565926.02"
"04_spend_by_category","[Txn]","19844"
"04_spend_by_category","Merchant Category[Merchant Category]","Theatrical Producers"
"04_spend_by_category","[Spend]","405051.69"
"04_spend_by_category","[Txn]","4559"
"04_spend_by_category","Merchant Category[Merchant Category]","Betting (including Lottery Tickets, Casinos)"
"04_spend_by_category","[Spend]","441268.43"
"04_spend_by_category","[Txn]","3088"
"04_spend_by_category","Merchant Category[Merchant Category]","Amusement Parks, Carnivals, Circuses"
"04_spend_by_category","[Spend]","268184.55"
"04_spend_by_category","[Txn]","1535"
"04_spend_by_category","Merchant Category[Merchant Category]","Doctors, Physicians"
"04_spend_by_category","[Spend]","613203.28"
"04_spend_by_category","[Txn]","3310"
"04_spend_by_category","Merchant Category[Merchant Category]","Dentists and Orthodontists"
"04_spend_by_category","[Spend]","715272.59"
"04_spend_by_category","[Txn]","4513"
"04_spend_by_category","Merchant Category[Merchant Category]","Chiropractors"
"04_spend_by_category","[Spend]","198268.92"
"04_spend_by_category","[Txn]","1450"
"04_spend_by_category","Merchant Category[Merchant Category]","Optometrists, Optical Goods and Eyeglasses"
"04_spend_by_category","[Spend]","279957.92"
"04_spend_by_category","[Txn]","2222"
"04_spend_by_category","Merchant Category[Merchant Category]","Podiatrists"
"04_spend_by_category","[Spend]","186829.58"
"04_spend_by_category","[Txn]","1382"
"04_spend_by_category","Merchant Category[Merchant Category]","Hospitals"
"04_spend_by_category","[Spend]","251686.93"
"04_spend_by_category","[Txn]","356"
"04_spend_by_category","Merchant Category[Merchant Category]","Medical Services"
"04_spend_by_category","[Spend]","202585.92"
"04_spend_by_category","[Txn]","1930"
"04_spend_by_category","Merchant Category[Merchant Category]","Legal Services and Attorneys"
"04_spend_by_category","[Spend]","645533.42"
"04_spend_by_category","[Txn]","1079"
"04_spend_by_category","Merchant Category[Merchant Category]","Accounting, Auditing, and Bookkeeping Services"
"04_spend_by_category","[Spend]","74999.38"
"04_spend_by_category","[Txn]","451"
"04_spend_by_category","Merchant Category[Merchant Category]","Postal Services - Government Only"
"04_spend_by_category","[Spend]","179985.2"
"04_spend_by_category","[Txn]","12145"
"05_fraud_by_channel","Channel[Channel]","Swipe"
"05_fraud_by_channel","[Labelled]","581403"
"05_fraud_by_channel","[Fraud]","195"
"05_fraud_by_channel","[Per10k]","3.35395586194086"
"05_fraud_by_channel","Channel[Channel]","Chip"
"05_fraud_by_channel","[Labelled]","417474"
"05_fraud_by_channel","[Fraud]","489"
"05_fraud_by_channel","[Per10k]","11.7133043015852"
"05_fraud_by_channel","Channel[Channel]","Online"
"05_fraud_by_channel","[Labelled]","128610"
"05_fraud_by_channel","[Fraud]","1174"
"05_fraud_by_channel","[Per10k]","91.2837259933131"
"06_distinct_counts","[Cards]","575"
"06_distinct_counts","[Clients]","160"
"06_distinct_counts","[Avg]","52.0461246684923"
"07_spend_yoy","Date[Year]","2010"
"07_spend_yoy","[Spend]","7040347.25"
"07_spend_yoy","[PY]",
"07_spend_yoy","[YoY]",
"07_spend_yoy","Date[Year]","2011"
"07_spend_yoy","[Spend]","7272900.63"
"07_spend_yoy","[PY]","7040347.25"
"07_spend_yoy","[YoY]","0.0330315212790101"
"07_spend_yoy","Date[Year]","2012"
"07_spend_yoy","[Spend]","7416433.65"
"07_spend_yoy","[PY]","7272900.63"
"07_spend_yoy","[YoY]","0.0197353198265816"
"07_spend_yoy","Date[Year]","2013"
"07_spend_yoy","[Spend]","7539588.86"
"07_spend_yoy","[PY]","7416433.65000001"
"07_spend_yoy","[YoY]","0.0166057185720249"
"07_spend_yoy","Date[Year]","2014"
"07_spend_yoy","[Spend]","7504211.93"
"07_spend_yoy","[PY]","7539588.86"
"07_spend_yoy","[YoY]","-0.00469215638371013"
"07_spend_yoy","Date[Year]","2015"
"07_spend_yoy","[Spend]","7640437.69"
"07_spend_yoy","[PY]","7504211.93"
"07_spend_yoy","[YoY]","0.0181532399765262"
"07_spend_yoy","Date[Year]","2016"
"07_spend_yoy","[Spend]","7636707.95"
"07_spend_yoy","[PY]","7640437.69"
"07_spend_yoy","[YoY]","-0.000488157897665742"
"07_spend_yoy","Date[Year]","2017"
"07_spend_yoy","[Spend]","7606150.84"
"07_spend_yoy","[PY]","7636707.95000001"
"07_spend_yoy","[YoY]","-0.0040013458940782"
"07_spend_yoy","Date[Year]","2018"
"07_spend_yoy","[Spend]","7627792.83"
"07_spend_yoy","[PY]","7606150.84"
"07_spend_yoy","[YoY]","0.0028453274797272"
"07_spend_yoy","Date[Year]","2019"
"07_spend_yoy","[Spend]","6284003.06"
"07_spend_yoy","[PY]","6347499.91"
"07_spend_yoy","[YoY]","-0.0100034424419553"
"08_card_by_year","Card[Card]","355"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","14629.3"
"08_card_by_year","[Txn]","686"
"08_card_by_year","[Decline]","0.0174927113702624"
"08_card_by_year","Card[Card]","1116"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","4244.65"
"08_card_by_year","[Txn]","209"
"08_card_by_year","[Decline]","0.0191387559808612"
"08_card_by_year","Card[Card]","3370"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","5275.68"
"08_card_by_year","[Txn]","158"
"08_card_by_year","[Decline]","0.00632911392405063"
"08_card_by_year","Card[Card]","4372"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","5210.7"
"08_card_by_year","[Txn]","196"
"08_card_by_year","[Decline]","0.0153061224489796"
"08_card_by_year","Card[Card]","2532"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","13149.67"
"08_card_by_year","[Txn]","457"
"08_card_by_year","[Decline]","0.0131291028446389"
"08_card_by_year","Card[Card]","3932"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","12671.56"
"08_card_by_year","[Txn]","314"
"08_card_by_year","[Decline]","0.0222929936305732"
"08_card_by_year","Card[Card]","2295"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","18235.19"
"08_card_by_year","[Txn]","322"
"08_card_by_year","[Decline]","0.015527950310559"
"08_card_by_year","Card[Card]","3489"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","33683.59"
"08_card_by_year","[Txn]","412"
"08_card_by_year","[Decline]","0.00728155339805825"
"08_card_by_year","Card[Card]","1062"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","16966.89"
"08_card_by_year","[Txn]","230"
"08_card_by_year","[Decline]","0.0260869565217391"
"08_card_by_year","Card[Card]","5228"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","12640.47"
"08_card_by_year","[Txn]","301"
"08_card_by_year","[Decline]","0.0132890365448505"
"08_card_by_year","Card[Card]","4679"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","2572.8"
"08_card_by_year","[Txn]","118"
"08_card_by_year","[Decline]","0.00847457627118644"
"08_card_by_year","Card[Card]","4561"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","6014.76"
"08_card_by_year","[Txn]","114"
"08_card_by_year","[Decline]","0.0350877192982456"
"08_card_by_year","Card[Card]","4202"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","12759.76"
"08_card_by_year","[Txn]","311"
"08_card_by_year","[Decline]","0.0321543408360129"
"08_card_by_year","Card[Card]","2302"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","12573.4"
"08_card_by_year","[Txn]","181"
"08_card_by_year","[Decline]","0.0165745856353591"
"08_card_by_year","Card[Card]","114"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","13852.22"
"08_card_by_year","[Txn]","258"
"08_card_by_year","[Decline]","0.0310077519379845"
"08_card_by_year","Card[Card]","5550"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","12692.79"
"08_card_by_year","[Txn]","188"
"08_card_by_year","[Decline]","0.0106382978723404"
"08_card_by_year","Card[Card]","320"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","22823.67"
"08_card_by_year","[Txn]","450"
"08_card_by_year","[Decline]","0.0111111111111111"
"08_card_by_year","Card[Card]","2828"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","14320.67"
"08_card_by_year","[Txn]","191"
"08_card_by_year","[Decline]","0.0104712041884817"
"08_card_by_year","Card[Card]","5856"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","12028.15"
"08_card_by_year","[Txn]","271"
"08_card_by_year","[Decline]","0.025830258302583"
"08_card_by_year","Card[Card]","4774"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","4630.82"
"08_card_by_year","[Txn]","110"
"08_card_by_year","[Decline]","0.0454545454545455"
"08_card_by_year","Card[Card]","217"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","18024.01"
"08_card_by_year","[Txn]","367"
"08_card_by_year","[Decline]","0.0190735694822888"
"08_card_by_year","Card[Card]","1073"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","6609.21"
"08_card_by_year","[Txn]","153"
"08_card_by_year","[Decline]",
"08_card_by_year","Card[Card]","3411"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","4558.86"
"08_card_by_year","[Txn]","192"
"08_card_by_year","[Decline]","0.015625"
"08_card_by_year","Card[Card]","4003"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","32142.46"
"08_card_by_year","[Txn]","404"
"08_card_by_year","[Decline]","0.0173267326732673"
"08_card_by_year","Card[Card]","5792"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","23982.6"
"08_card_by_year","[Txn]","1207"
"08_card_by_year","[Decline]","0.0107705053852527"
"08_card_by_year","Card[Card]","3365"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","19418.63"
"08_card_by_year","[Txn]","613"
"08_card_by_year","[Decline]","0.0114192495921697"
"08_card_by_year","Card[Card]","3271"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","26055.06"
"08_card_by_year","[Txn]","461"
"08_card_by_year","[Decline]","0.0130151843817787"
"08_card_by_year","Card[Card]","3705"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","10800.52"
"08_card_by_year","[Txn]","147"
"08_card_by_year","[Decline]","0.0204081632653061"
"08_card_by_year","Card[Card]","3243"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","4326.51"
"08_card_by_year","[Txn]","170"
"08_card_by_year","[Decline]","0.0235294117647059"
"08_card_by_year","Card[Card]","4117"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","13588.49"
"08_card_by_year","[Txn]","247"
"08_card_by_year","[Decline]","0.0161943319838057"
"08_card_by_year","Card[Card]","3734"
