"DATABASE_NAME","CUBE_NAME","MEASURE_GROUP_NAME","DIMENSION_NAME","TABLE_ID","TABLE_PARTITIONS_COUNT","HINT_TABLE_TYPE","ROWS_COUNT","RIVIOLATION_COUNT"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Fraud Status","Fraud Status","H$Fraud Status (31)$Fraud Sort (112)","1","AUTOMATIC","6","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Fraud Status","Fraud Status","H$Fraud Status (31)$Fraud Status (111)","1","AUTOMATIC","6","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Gender (65)","1","AUTOMATIC","5","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Age Band Sort (68)","1","AUTOMATIC","8","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Retirement Age (70)","1","AUTOMATIC","25","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Yearly Income (71)","1","AUTOMATIC","163","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Birth Year (69)","1","AUTOMATIC","61","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Credit Score Band Sort (79)","1","AUTOMATIC","8","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Credit Score (77)","1","AUTOMATIC","114","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Total Debt (75)","1","AUTOMATIC","160","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Cards Held (80)","1","AUTOMATIC","11","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Debt to Income (76)","1","AUTOMATIC","160","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Per Capita Income (74)","1","AUTOMATIC","161","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Age (66)","1","AUTOMATIC","63","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Income Band Sort (73)","1","AUTOMATIC","8","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Client (64)","1","AUTOMATIC","163","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Age Band (67)","1","AUTOMATIC","8","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Credit Score Band (78)","1","AUTOMATIC","8","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","H$Client (13)$Income Band (72)","1","AUTOMATIC","8","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Year (49)","1","AUTOMATIC","13","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Quarter (50)","1","AUTOMATIC","7","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Quarter Year Sort (52)","1","AUTOMATIC","43","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Date (48)","1","AUTOMATIC","3594","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Is Complete Year (63)","1","AUTOMATIC","5","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Is Weekend (61)","1","AUTOMATIC","5","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Month Start (58)","1","AUTOMATIC","121","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Month Year Sort (57)","1","AUTOMATIC","121","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Month No (53)","1","AUTOMATIC","15","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Day of Week (59)","1","AUTOMATIC","10","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$In Like For Like Period (62)","1","AUTOMATIC","5","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Quarter Year (51)","1","AUTOMATIC","43","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Day (60)","1","AUTOMATIC","10","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Month Short (55)","1","AUTOMATIC","15","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Month Year (56)","1","AUTOMATIC","121","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","H$Date (10)$Month (54)","1","AUTOMATIC","15","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Geography","Geography","H$Geography (28)$Geo Key (105)","1","AUTOMATIC","128","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Geography","Geography","H$Geography (28)$Location Type (107)","1","AUTOMATIC","7","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Geography","Geography","H$Geography (28)$Country (109)","1","AUTOMATIC","77","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Geography","Geography","H$Geography (28)$State Code (108)","1","AUTOMATIC","55","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Geography","Geography","H$Geography (28)$Location (106)","1","AUTOMATIC","127","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","H$Card (16)$Card Type (84)","1","AUTOMATIC","6","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","H$Card (16)$Card (81)","1","AUTOMATIC","643","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","H$Card (16)$Card Brand (83)","1","AUTOMATIC","7","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","H$Card (16)$Account Opened Year (90)","1","AUTOMATIC","32","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","H$Card (16)$Credit Limit Band Sort (88)","1","AUTOMATIC","8","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","H$Card (16)$Cards Issued (91)","1","AUTOMATIC","6","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","H$Card (16)$PIN Last Changed (92)","1","AUTOMATIC","21","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","H$Card (16)$Account Opened (89)","1","AUTOMATIC","202","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","H$Card (16)$Credit Limit (86)","1","AUTOMATIC","554","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","H$Card (16)$Client Key (82)","1","AUTOMATIC","163","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","H$Card (16)$Chip (85)","1","AUTOMATIC","5","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","H$Card (16)$Credit Limit Band (87)","1","AUTOMATIC","8","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Merchant Category","Merchant Category","H$Merchant Category (19)$Merchant Category (94)","1","AUTOMATIC","111","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Merchant Category","Merchant Category","H$Merchant Category (19)$Category Group (95)","1","AUTOMATIC","16","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Merchant Category","Merchant Category","H$Merchant Category (19)$MCC (93)","1","AUTOMATIC","112","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","H$Transactions (34)$Client Key (117)","1","AUTOMATIC","163","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","H$Transactions (34)$Channel Key (120)","1","AUTOMATIC","6","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","H$Transactions (34)$MCC (119)","1","AUTOMATIC","112","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","H$Transactions (34)$Geo Key (122)","1","AUTOMATIC","128","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","H$Transactions (34)$Outcome Key (121)","1","AUTOMATIC","12","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","H$Transactions (34)$Date (115)","1","AUTOMATIC","3594","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","H$Transactions (34)$Amount (124)","1","AUTOMATIC","40375","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","H$Transactions (34)$Fraud Key (123)","1","AUTOMATIC","6","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","H$Transactions (34)$Hour (116)","1","AUTOMATIC","27","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","H$Transactions (34)$Card Key (118)","1","AUTOMATIC","578","0"
